dataset,generation,adaptive_mean,adaptive_std,naive_mean,naive_std
2,73,5.6,2.244994432064365,4.4,1.4966629547095764
2,74,5.6,1.4966629547095764,4.0,0.8944271909999159
2,75,7.4,0.7999999999999999,5.2,0.9797958971132712
2,76,7.2,2.9933259094191533,5.6,2.244994432064365
2,77,5.0,3.1622776601683795,6.6,1.3564659966250536
2,78,8.0,2.280350850198276,5.6,2.4166091947189146
2,79,7.0,1.0954451150103321,6.4,1.624807680927192
2,80,7.0,2.3664319132398464,5.6,1.3564659966250536
2,81,6.6,2.1540659228538015,4.4,0.7999999999999999
2,82,6.8,0.9797958971132712,5.4,2.5768197453450252
2,83,6.8,0.7483314773547882,5.2,1.32664991614216
2,84,8.0,2.449489742783178,4.2,0.9797958971132712
2,85,6.4,2.33238075793812,4.0,2.280350850198276
2,86,7.4,2.1540659228538015,4.2,1.6
2,87,7.0,2.0,6.6,1.8547236990991407
2,88,10.2,1.1661903789690602,7.6,3.3823069050575527
2,89,7.4,2.0591260281974,7.6,2.65329983228432
2,90,9.6,3.1368774282716245,6.6,2.5768197453450252
2,91,7.6,2.33238075793812,8.0,4.147288270665544
2,92,8.2,4.4,7.0,5.621387729022079
2,93,8.4,1.9595917942265424,6.0,2.3664319132398464
2,94,5.4,1.8547236990991407,8.4,2.9393876913398134
2,95,7.2,1.9390719429665317,7.6,3.7202150475476548
2,96,7.4,2.4166091947189146,9.4,4.127953488110059
2,97,7.6,3.7735924528226414,7.8,2.6381811916545836
2,98,7.2,2.315167380558045,8.4,1.624807680927192
2,99,10.4,2.244994432064365,11.8,4.354308211415448
2,100,9.0,3.03315017762062,7.4,2.0591260281974
2,101,9.6,3.0066592756745814,9.2,1.3266499161421599
2,102,9.6,3.8781438859330635,8.2,1.7204650534085253
2,103,7.2,2.7856776554368237,8.8,2.1354156504062622
2,104,10.2,2.039607805437114,10.0,2.0976176963403033
2,105,8.0,2.1908902300206643,10.2,5.114684741017769
2,106,10.4,1.4966629547095764,5.6,1.4966629547095764
2,107,9.4,2.1540659228538015,9.4,2.65329983228432
2,108,8.0,0.8944271909999159,9.6,2.4166091947189146
2,109,8.6,3.006659275674582,9.4,2.870540018881465
